severe dehydration | Suffering from severe dehydration started for two hours. | Emergency Department (ED)
crushing severe dehydration | Having crushing severe dehydration appeared since this morning. | Emergency Department (ED)
choking on food | Having choking on food began for one day. | Emergency Department (ED)
severe deep stab wound | Suffering from severe deep stab wound appeared for six months. | Emergency Department (ED)
difficulty breathing | Feeling difficulty breathing came on for two hours. | Emergency Department (ED)
intermittent high fever in an infant | Noticing intermittent high fever in an infant began for one day. | Emergency Department (ED)
persistent choking on food | Having persistent choking on food began since last night. | Emergency Department (ED)
intermittent profuse bleeding | Having intermittent profuse bleeding came on for one day. | Emergency Department (ED)
burning severe abdominal pain | Feeling burning severe abdominal pain started for six months. | Emergency Department (ED)
seizure lasting more than five minutes when lying down | Having seizure lasting more than five minutes when lying down started for six months. | Emergency Department (ED)
stroke-like facial droop at rest | Feeling stroke-like facial droop at rest came on since yesterday. | Emergency Department (ED)
sharp severe abdominal pain | Suffering from sharp severe abdominal pain began since yesterday. | Emergency Department (ED)
sudden severe dehydration | Suffering from sudden severe dehydration began for six months. | Emergency Department (ED)
sharp severe chest pain | Experiencing sharp severe chest pain started for a week. | Emergency Department (ED)
sharp profuse bleeding | Having sharp profuse bleeding appeared for a week. | Emergency Department (ED)
choking on food worsening over time | Noticing choking on food worsening over time came on since yesterday. | Emergency Department (ED)
acute severe allergic reaction for several days | Experiencing acute severe allergic reaction for several days started for one day. | Emergency Department (ED)
severe abdominal pain | Feeling severe abdominal pain started for a week. | Emergency Department (ED)
loss of consciousness | Suffering from loss of consciousness came on for 10 minutes. | Emergency Department (ED)
severe asthma attack when lying down | Noticing severe asthma attack when lying down came on for a week. | Emergency Department (ED)
severe chest pain | Having severe chest pain started for several weeks. | Emergency Department (ED)
chronic severe dehydration | Feeling chronic severe dehydration came on since last night. | Emergency Department (ED)
crushing gunshot wound | Having crushing gunshot wound began for one day. | Emergency Department (ED)
uncontrolled vomiting of blood | Noticing uncontrolled vomiting of blood began for two hours. | Emergency Department (ED)
deep stab wound | Experiencing deep stab wound started for six months. | Emergency Department (ED)
intermittent severe dehydration | Noticing intermittent severe dehydration came on since yesterday. | Emergency Department (ED)
deep stab wound after meals | Feeling deep stab wound after meals began since last night. | Emergency Department (ED)
chronic high-speed car accident injuries at night | Experiencing chronic high-speed car accident injuries at night began for three days. | Emergency Department (ED)
crushing choking on food on exertion | Feeling crushing choking on food on exertion began since last night. | Emergency Department (ED)
severe asthma attack | Suffering from severe asthma attack appeared for two hours. | Emergency Department (ED)
sudden numbness | Having sudden numbness began since last night. | Emergency Department (ED)
broken bone protruding through the skin | Feeling broken bone protruding through the skin began for three days. | Emergency Department (ED)
seizure lasting more than five minutes at night | Suffering from seizure lasting more than five minutes at night came on since last night. | Emergency Department (ED)
loss of consciousness after meals | Having loss of consciousness after meals came on for several weeks. | Emergency Department (ED)
cyanotic lips in the morning | Experiencing cyanotic lips in the morning started for six months. | Emergency Department (ED)
crushing stroke-like facial droop with minimal activity | Suffering from crushing stroke-like facial droop with minimal activity began for six months. | Emergency Department (ED)
ingestion of poison | Feeling ingestion of poison came on for three days. | Emergency Department (ED)
burning difficulty breathing with minimal activity | Having burning difficulty breathing with minimal activity appeared since yesterday. | Emergency Department (ED)
stroke-like facial droop after meals | Having stroke-like facial droop after meals appeared for several weeks. | Emergency Department (ED)
sudden numbness in the morning | Having sudden numbness in the morning appeared for 10 minutes. | Emergency Department (ED)
stroke-like facial droop | Suffering from stroke-like facial droop appeared for one day. | Emergency Department (ED)
acute gunshot wound at rest | Feeling acute gunshot wound at rest started since last night. | Emergency Department (ED)
sudden crushing jaw pain | Noticing sudden crushing jaw pain began since last night. | Emergency Department (ED)
crushing jaw pain | Noticing crushing jaw pain started since last night. | Emergency Department (ED)
severe uncontrolled vomiting of blood | Suffering from severe uncontrolled vomiting of blood started since this morning. | Emergency Department (ED)
throbbing cyanotic lips | Feeling throbbing cyanotic lips came on since yesterday. | Emergency Department (ED)
intermittent choking on food | Suffering from intermittent choking on food appeared for several weeks. | Emergency Department (ED)
sudden broken bone protruding through the skin | Feeling sudden broken bone protruding through the skin began since yesterday. | Emergency Department (ED)
crushing gunshot wound for several days | Experiencing crushing gunshot wound for several days appeared for three days. | Emergency Department (ED)
persistent severe chest pain | Feeling persistent severe chest pain started for one day. | Emergency Department (ED)
shortness of breath climbing stairs on exertion | Suffering from shortness of breath climbing stairs on exertion started for six months. | Cardiology
intermittent left arm pain with exertion | Noticing intermittent left arm pain with exertion came on since this morning. | Cardiology
sharp rapid irregular heartbeat | Noticing sharp rapid irregular heartbeat appeared for six months. | Cardiology
severe swelling around eyes in morning | Feeling severe swelling around eyes in morning came on for 10 minutes. | Cardiology
throbbing irregular pulse at wrist in the morning | Suffering from throbbing irregular pulse at wrist in the morning appeared since last night. | Cardiology
dull chest tightness after stress | Feeling dull chest tightness after stress started for two hours. | Cardiology
persistent high blood pressure on exertion | Suffering from persistent high blood pressure on exertion started for 10 minutes. | Cardiology
persistent dizziness when standing | Experiencing persistent dizziness when standing started for three days. | Cardiology
chronic pressure in chest after meal | Feeling chronic pressure in chest after meal began for six months. | Cardiology
severe irregular pulse at wrist on exertion | Having severe irregular pulse at wrist on exertion appeared for one day. | Cardiology
chest fluttering sensation | Experiencing chest fluttering sensation began for 10 minutes. | Cardiology
crushing dizziness when standing | Suffering from crushing dizziness when standing began since yesterday. | Cardiology
burning ankle swelling | Experiencing burning ankle swelling started for one day. | Cardiology
sharp racing pulse at rest | Having sharp racing pulse at rest began for three days. | Cardiology
persistent fainting during exercise | Having persistent fainting during exercise appeared for two hours. | Cardiology
crushing slow heart rate | Noticing crushing slow heart rate started for 10 minutes. | Cardiology
shortness of breath climbing stairs | Having shortness of breath climbing stairs began since yesterday. | Cardiology
dull heart murmur heard at rest | Having dull heart murmur heard at rest appeared for six months. | Cardiology
chronic shortness of breath climbing stairs worsening over time | Suffering from chronic shortness of breath climbing stairs worsening over time appeared for three days. | Cardiology
blue fingertips during cold | Suffering from blue fingertips during cold came on for three days. | Cardiology
dizziness when standing in the morning | Feeling dizziness when standing in the morning came on for two hours. | Cardiology
burning heart murmur heard | Noticing burning heart murmur heard began for one day. | Cardiology
chronic high blood pressure | Feeling chronic high blood pressure started for six months. | Cardiology
rapid irregular heartbeat | Suffering from rapid irregular heartbeat started since yesterday. | Cardiology
intermittent ankle swelling after meals | Noticing intermittent ankle swelling after meals came on for 10 minutes. | Cardiology
dull left arm pain with exertion after meals | Suffering from dull left arm pain with exertion after meals appeared since last night. | Cardiology
dull rapid irregular heartbeat | Noticing dull rapid irregular heartbeat came on since this morning. | Cardiology
persistent rapid irregular heartbeat | Suffering from persistent rapid irregular heartbeat started for 10 minutes. | Cardiology
elevated troponin in the morning | Noticing elevated troponin in the morning began for two hours. | Cardiology
intermittent heart murmur heard | Suffering from intermittent heart murmur heard came on for three days. | Cardiology
chronic swelling around eyes in morning | Noticing chronic swelling around eyes in morning started for three days. | Cardiology
burning dizziness when standing with minimal activity | Experiencing burning dizziness when standing with minimal activity started for a week. | Cardiology
throbbing shortness of breath climbing stairs | Experiencing throbbing shortness of breath climbing stairs came on since last night. | Cardiology
chronic swelling around eyes in morning when lying down | Feeling chronic swelling around eyes in morning when lying down started for one day. | Cardiology
blue fingertips during cold worsening over time | Noticing blue fingertips during cold worsening over time started for two hours. | Cardiology
intermittent shortness of breath lying flat on exertion | Suffering from intermittent shortness of breath lying flat on exertion started since last night. | Cardiology
throbbing pounding heartbeat | Noticing throbbing pounding heartbeat appeared since this morning. | Cardiology
intermittent shortness of breath lying flat | Feeling intermittent shortness of breath lying flat began for a week. | Cardiology
sudden fainting during exercise for several days | Noticing sudden fainting during exercise for several days came on since last night. | Cardiology
throbbing irregular pulse at wrist | Suffering from throbbing irregular pulse at wrist began since yesterday. | Cardiology
